Time,Time,MAE,MAE,R2,R2,Params,Params,Params,Params,Time,Time,MAE,R2
Train,Val,Train,Val,Train,Val,criterion,max_depth,min_samples_leaf,min_samples_split,Iteration,Test,Test,Test
6.761841447830201,0.0593828945159912,707.3375477479104,1064.9151653862034,0.9793066001885512,0.9568901965266012,poisson,10,6,19,124.64505195617676,0.0180001258850097,923.2032496080112,0.96563625547847
6.569225143432618,0.0602127323150634,685.8287874022672,1061.097043395633,0.979888682260878,0.956963182915606,friedman_mse,10,9,19,122.04033994674684,0.0159995555877685,923.1393229650712,0.9657153676884558
6.685416164398192,0.062695837020874,686.8857622323943,1072.2790964911185,0.9798917360915456,0.9562076621378132,friedman_mse,10,5,18,128.53831577301025,0.0169999599456787,923.199567763412,0.9656801421360872
8.024952741622924,0.065892723083496,661.6033202770581,1082.948034007072,0.9817468845086612,0.9558189946444068,poisson,10,7,15,127.67025899887084,0.0190026760101318,923.6424180413984,0.9655956156603782
6.6495895690917965,0.0600687923431396,702.6823819172685,1068.301449129053,0.9795496039945938,0.9567165325708776,poisson,10,6,13,121.50192546844482,0.0159995555877685,923.5970673053936,0.9655770372628132
7.07955731010437,0.0649777374267578,685.8758013220129,1062.3174465629425,0.9799675237979284,0.9568878944657668,friedman_mse,10,9,18,126.81731009483336,0.0179991722106933,923.2085967581396,0.9657084300940104
7.388335460662842,0.0648005676269531,661.6053237411444,1082.9910708626642,0.981746804259401,0.955815429111904,poisson,10,7,15,118.4150390625,0.0149998664855957,923.6424180413984,0.9655956156603782
7.040447160720825,0.0598970375061035,656.7650142421585,1085.5177641575713,0.9819308019331536,0.9556360166674316,poisson,10,7,18,121.56265926361084,0.0150008201599121,923.4360538425552,0.9656268925066216
9.339294797897338,0.1862408809661865,693.761274076852,1052.3624196973938,0.980110000062832,0.9578870872337356,friedman_mse,10,8,16,135.9747166633606,0.0319995880126953,923.2904610282376,0.9656960140790656
6.711639429092406,0.06798462104797362,673.7092572179063,1094.95332674963,0.9807429129055061,0.9549695221825546,squared_error,50,8,19,128.4999976158142,0.03200197219848633,1042.0482733430715,0.958705740995202
